loss	d_loss	rec_loss	
8.767105	2.312088	6.455017	
8.701342	2.302441	6.398900	
8.607102	2.296105	6.310998	
8.520267	2.294230	6.226037	
8.441691	2.304354	6.137337	
8.363933	2.279426	6.084506	
8.307656	2.286629	6.021027	
8.265488	2.313049	5.952438	
8.231855	2.347446	5.884409	
8.185499	2.328904	5.856596	
8.146316	2.333319	5.812997	
8.128529	2.354441	5.774087	
8.094505	2.334649	5.759856	
8.039001	2.319774	5.719228	
7.994993	2.288093	5.706900	
7.994618	2.357776	5.636843	
7.973735	2.342270	5.631465	
7.893228	2.305319	5.587909	
7.857978	2.310831	5.547147	
7.861023	2.356488	5.504535	
7.824569	2.330490	5.494079	
7.713467	2.230621	5.482846	
7.698524	2.240975	5.457549	
7.623734	2.182011	5.441723	
7.621218	2.203997	5.417221	
7.539246	2.147089	5.392157	
7.527026	2.145629	5.381396	
7.500398	2.133869	5.366529	
7.432804	2.089628	5.343175	
7.378755	2.043713	5.335042	
7.330102	1.984831	5.345271	
7.289500	1.972757	5.316744	
7.244279	1.966488	5.277791	
7.242479	2.009495	5.232984	
7.210353	2.023316	5.187037	
7.153675	1.920345	5.233329	
7.078419	1.868933	5.209486	
7.075055	1.854581	5.220474	
6.990115	1.836758	5.153357	
6.996587	1.822685	5.173902	
6.945776	1.858342	5.087434	
6.928933	1.771305	5.157628	
6.871126	1.756871	5.114254	
6.858723	1.726988	5.131735	
6.782949	1.689498	5.093451	
6.799820	1.683899	5.115921	
6.709460	1.669731	5.039729	
6.745690	1.670715	5.074975	
6.644567	1.662361	4.982207	
6.687816	1.665248	5.022568	
6.579830	1.660334	4.919496	
6.628416	1.664395	4.964021	
6.533519	1.660683	4.872836	
6.577359	1.661970	4.915389	
6.491483	1.658929	4.832554	
6.544652	1.662889	4.881763	
6.438700	1.659682	4.779018	
6.489237	1.660943	4.828294	
6.389929	1.659395	4.730534	
6.432165	1.659926	4.772239	
6.337337	1.658403	4.678934	
6.372645	1.659488	4.713157	
6.297651	1.658227	4.639424	
6.330762	1.660191	4.670571	
6.235512	1.653737	4.581775	
6.267591	1.645784	4.621808	
6.164753	1.637927	4.526826	
6.209126	1.636268	4.572858	
6.094372	1.619561	4.474811	
6.143178	1.612246	4.530932	
6.027755	1.593878	4.433878	
5.887444	1.571475	4.315969	
5.880911	1.555025	4.325886	
5.826065	1.528344	4.297721	
5.803711	1.507691	4.296021	
